uid,barcode,ddn,location,itype,isbn,publishercode,pages,place,author,title,abstract,notes,seriestitle,copyrightdate,tags
1,1,510.076/BYR,Reference section,BKS,9781108771436,Cambridge university press,387p.,Cambridge,"Byrd, Lynn",Cambridge lower secondary Mathematics : learners book 7,,,,2021,"""Education, Mathematics, Textbook, Cambridge Lower Secondary, Mathematics Education, Study Material, School Level, Learning Resource, Grade 7""
"
2,10,428.076/ROB,Teachers resources - Secondary section,BKS,9780198364658,Oxford university press,156p.,Oxford,"Roberts, Dean",Complete english for cambridge secondary 1 : stage 7,"The complete english 7 Student Book provides support for the previous cambridge lower secondary english curriculum. Written by an expert author team, the series helps first and additional language learners to achieve their best at cambridge lower secondary",,Cambridge checkpoint and beyond.,2015,"""Education, Cambridge Curriculum, Secondary Education, Language Learning, English Curriculum, English Language, Student Support, Author Team, First Language Learners, Additional Language Learners, Lower Secondary, Stage 7"""
3,100,428.076/MEN,Teachers resources - Higher Secondary section,BKS,9781398311404,Hodder education,94p.,London,"Menon, Monica",Cambridge checkpoint lower secondary english : workbook 9,,,,2021,"""Education, English Workbook, Cambridge Checkpoint, Lower Secondary, Learning English, English Exercises, Study Guide, English Grammar, Language Learning, Important Vocabulary, Academic Study, Education Material, Age 9-14"""
4,1000,891.433/SIN,Secondary section - Hindi,BKS,9789387423817,Pratham Books,12p.,Bengaluru,"Sinha, Sukanya",गोल क्यों होते हैं बुलबुले / Gol kyo hote hai bulbule,"Maya and Manu want to see if they can make bubbles of different shapes. Like them, you too can learn about bubbles and their shapes.",,,2021,"""Children's Books, Science Education, Bubbles, Shape Exploration, Experiments, Interactive Learning, Indian Authors, Hindi Language Edition, Fun Learning"""
5,1001,891.433/PRA,Secondary section - Hindi,BKS,9789387423312,Pratham Books,16p.,Bengaluru,"Pradhan, Vidya",बिमला का केक इतना मुलायम कैसे? / Bimala ka cake itana mulayam kaise?,Chinni and her father bake a cake for her friend in their bakery. Why are cakes so spongy? What makes them rise?,,Read india,2022,"""Children's Book, Baking, Cake Making, Chemistry of Baking, Indian Literature, Science in Everyday Life, Family, Hindi Language, English Language, Cultural Diversity, Learning through Fun, Educational, Exploratory Learning"""
6,1002,891.433/JAI,Secondary section - Hindi,BKS,9788182630468,Pratham Books,16p.,Bengaluru,"Jaiswal, Sanjiv",सूरज का गुस्सा / Suraj ka gussa,Children's story based on sun's fury.,,,2021,"""Children's Literature, Sun, Fury, Hindi Language Literature, Emotion Depiction, Storybook, Indian Folklore, Cultural Studies, Educational, Weather Themes, Imaginative Fiction"""
7,1003,891.433/PAI,Primary section - Hindi,BKS,9788182632561,Pratham Books,28p.,Bengaluru,"Pai, Roopa","दीदी, दीदी, आकाश का रंग नीला क्यों है? / Didi didi aakasha ka rang neela kyo hai?",Children's story about on a little boy and his curiousity to know why is the sky so blue.,,,2022,"""Children's Literature, Educational, Curiosity, Science, Sky, Nature, Color Blue, Indian Literature, Hindi Language, Questioning, Exploration, Sibling Relationships"""
8,1004,891.433/PAI,Secondary section - Hindi,BKS,9788182632585,Pratham Books,28p.,Bengaluru,"Pai, Roopa","दीदी, दीदी, बादल क्यों गरजते हैं? / Didi didi badal kyo garajate hai",Children's story based on a little boy and his curious to know where thunder comes from.,,,2022,"""Children's Literature, Educational, Science, Weather Education, Indian Literature, Thunder Explanation, Curiosity, Sibling Bonding, Indian Author, Children's Questions, Hindi Language"""
9,1005,891.433/PAI,Secondary section - Hindi,BKS,9788182632592,Pratham Books,32p.,Bengaluru,"Pai, Roopa","दीदी, दीदी, चीज़ें ऊपर क्यों नहीं गिरती है? / Didi didi Cheeze uper kyo nahi girti hai?",,,,2022,"""Children's Literature, Hindi Books, Indian Authors, Science Exploration, Gravity Education, Curiosity in Kids, Learning & Education, Question & Answer Format, Conceptual Understanding"""
10,1006,891.433/MOM,Secondary section - Hindi,BKS,9789353094973,Pratham Books,16p.,Bengaluru,"Momaya, Meethil",देखो तो जानो! / Dekho to jano!,"Children's story about Chanda, Tinku and Motu who visit a laboratory and look through different lenses. They see distant stars as well as miniscule stuff up close.",,,2022,"""Children's Literature, Science, Laboratory Adventure, Astronomy, Microscopy, Science Education, Exploration, Educational, Indian Children's Book, Picture Book, Bilingual Book, Space and Stars, Adventure, Friendship"""
